code,qr_url,status,batch_name,assigned_to
PF-000084,https://farecoh.org/t/a2cf6791dc58b3f0326973aa8b46494ef873f1842d516efba6c83c1c6dcfb8a0,available,LOTE GENERAL 001,
PF-000085,https://farecoh.org/t/c7fc91a2a3600261a45b583b6817843702330dcfc553e5eb717db44366ccdb92,available,LOTE GENERAL 001,
PF-000086,https://farecoh.org/t/a330bc830201b1a3faee4d0c271c454a67691b87a7d82ca1e4fcffef0ce3557c,available,LOTE GENERAL 001,
PF-000087,https://farecoh.org/t/ea7b001dbb3ddefd0cbd7aa5e1942ac5d8ddaab7a9b31a4c4467821686d66be2,available,LOTE GENERAL 001,
PF-000088,https://farecoh.org/t/5cb8b55bcc5e790270848ced756f02fb3afb18692528e92a1573189703c23133,available,LOTE GENERAL 001,
PF-000089,https://farecoh.org/t/a760484d66f71d927b2085c04927922a5bd226dafdf6c46a0c33454cb689cf20,available,LOTE GENERAL 001,
PF-000090,https://farecoh.org/t/962646a642b5786aa9b131a973df27cde94c42ae579c87ea03398cc7a7ec8406,available,LOTE GENERAL 001,
PF-000091,https://farecoh.org/t/dca61e653574b16dc17196c1ee9650aa20e21ffdd1fd9930b14ffdd1c0e6b4b0,available,LOTE GENERAL 001,
PF-000092,https://farecoh.org/t/fa683797401d59d07af3d1b84adc746cecf6cedf241f5c9586ff68503c367793,available,LOTE GENERAL 001,
PF-000093,https://farecoh.org/t/e59b6062664931bffc7abeb6df9ab6b849dc228b3454ad04b2b831c495e668cd,available,LOTE GENERAL 001,
PF-000094,https://farecoh.org/t/34848be1bfffebb791ea6018862d0fce375071659e41e79b642a85d3708d4046,available,LOTE GENERAL 001,
PF-000095,https://farecoh.org/t/faf4ab251f9ecd6393794ab34708d982455e8fa4adfc459e6b6cdfb7bf5ce3dd,available,LOTE GENERAL 001,
PF-000096,https://farecoh.org/t/fb172f750ffca85ea68a50778c6f5e2308dd624d949572d3a2f3cf596e420099,available,LOTE GENERAL 001,
PF-000097,https://farecoh.org/t/4b168cdcb4b594e1c74ad6af23ac6d79e60545b8b85b497f6cf9b17481834bec,available,LOTE GENERAL 001,
PF-000098,https://farecoh.org/t/687a1984000b0bf6e0b7ceed0015ec7f876793b96d49fff52111e4cc68a0b37c,available,LOTE GENERAL 001,
PF-000099,https://farecoh.org/t/7691494d097750f7faaaa9a5585c1172c51dc51e6c530df0055765cee5d23624,available,LOTE GENERAL 001,
PF-000100,https://farecoh.org/t/07470ddbe069c1861cbf6cb211d29e01e808661c0369e2e0f2b9a15b443a468d,available,LOTE GENERAL 001,
